Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.262324820535648,-0.111783715901356,0.104432242145527,0,0,0,130.703413258806,9.48205817837113,0.000348135237947743,-0.00171562144848398,10.198183829728,1.39608345056877,4.24086781721853,0,0,0,0,0,0,package://CAR_URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CAR_URDF/meshes/base_link.STL,,Chassis-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar,-7.04297731246584E-16,2.77555756156289E-16,0.0381059276546113,0,0,0,2.47069918222367,0.00757222005312619,0,5.51268534132472E-17,0.00757222005312619,-1.4627147415681E-18,0.0127540906436804,0,0,0,0,0,0,package://CAR_URDF/meshes/lidar.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://CAR_URDF/meshes/lidar.STL,,LiDar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,continuous,-0.26235,0.018825,0.12175,0,0,-1.548,base_link,0,0,1,,,,,,,,,,,,
left_rear_wheel,0,0,-0.0420011070356851,0,0,0,2.20373338840704,0.00679098454718218,-2.16840434497101E-19,3.05543041953963E-19,0.00679098454718218,-2.61427869463836E-19,0.0118184008419413,0,0,0,0,0,0,package://CAR_URDF/meshes/left_rear_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CAR_URDF/meshes/left_rear_wheel.STL,,Wheel-1,Origin_left_rear_wheel_joint,Axis_left_rear_wheel_joint,left_rear_wheel_joint,continuous,-0.008348,0.035982,-0.33569,-1.5708,-0.65705,-1.5708,base_link,0,0,1,,,,,,,,,,,,
right_rear_wheel,2.16493489801906E-15,3.11556336285435E-15,0.034198892964327,0,0,0,2.20373338840704,0.00679098454718218,7.75561000518877E-33,-2.24091275712152E-19,0.00679098454718218,3.17277817873348E-18,0.0118184008419413,0,0,0,0,0,0,package://CAR_URDF/meshes/right_rear_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CAR_URDF/meshes/right_rear_wheel.STL,,Wheel-4,Origin_right_rear_wheel_joint,Axis_right_rear_wheel_joint,right_rear_wheel_joint,continuous,-0.44015,0.035982,-0.33569,3.1416,-1.5708,0,base_link,0,0,1,,,,,,,,,,,,
left_axel,-0.0215345041887456,-2.20129207140207E-07,0.060619132686433,0,0,0,0.343309331013788,0.000302393438921681,1.47357459795864E-09,0.000116959796850632,0.000593149233132481,-1.63700675940791E-09,0.000404179391395247,0,0,0,0,0,0,package://CAR_URDF/meshes/left_axel.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://CAR_URDF/meshes/left_axel.STL,,Dynamic_Axel-2,Origin_left_axel_joint,Axis_left_axel_joint,left_axel_joint,continuous,-0.17345,-0.47202,-0.25925,3.1416,0,3.085,base_link,0,0,1,,,,,,,,,,,,
left_front_wheel,5.55111512312578E-17,0,0.0459613313401529,0,0,0,2.20373338840703,0.00679098454718218,2.71050543121376E-20,1.81688567186047E-18,0.00679098454718217,1.43656787854329E-18,0.0118184008419413,0,0,0,0,0,0,package://CAR_URDF/meshes/left_front_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CAR_URDF/meshes/left_front_wheel.STL,,Wheel-2,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,-0.077138,0,0.076439,1.5708,1.5458,-1.5708,left_axel,0,0,1,,,,,,,,,,,,
right_axel,-0.0215345244083817,-2.11376193104407E-07,0.0606191290142053,0,0,0,0.343309204058249,0.000302393251783979,1.20006118564206E-09,0.000116959723773728,0.000593149258029488,-1.69500251247044E-09,0.000404179144905995,0,0,0,0,0,0,package://CAR_URDF/meshes/right_axel.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://CAR_URDF/meshes/right_axel.STL,,Dynamic_Axel-1,Origin_right_axel_joint,Axis_right_axel_joint,right_axel_joint,continuous,-0.35125,-0.47202,-0.25925,3.1416,0,0,base_link,0,0,1,,,,,,,,,,,,
right_front_wheel,-1.77080572427712E-14,3.66373598126302E-14,-0.0341988929643269,0,0,0,2.20373338840704,0.00679098454718218,-7.98286785609436E-33,2.35845205968337E-19,0.00679098454718218,-5.26738303411415E-17,0.0118184008419413,0,0,0,0,0,0,package://CAR_URDF/meshes/right_front_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CAR_URDF/meshes/right_front_wheel.STL,,Wheel-3,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,continuous,-0.0889,0,0.076439,1.5708,0,1.5708,right_axel,0,0,1,,,,,,,,,,,,
