Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0128918984763142,0.450966425452628,-0.431554811940461,0,0,0,130.703409436851,9.48205837021825,0.000348574852501923,-0.0017160642521088,10.1981840585977,1.39608354050037,4.24086791526909,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/base_link.STL,,Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar,-1.66533453693773E-16,1.11022302462516E-16,0.038105927654612,0,0,0,2.47069918222367,0.0075722200531262,4.33680868994202E-19,1.4177815111934E-17,0.0075722200531262,-2.48131006824263E-17,0.0127540906436804,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/lidar.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/lidar.STL,,LiDar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,continuous,-0.0129150284475342,0.554812272899422,0.684495587993352,0,0,2.21735572721632,base_link,0,0,1,,,,,,,,,,,,
right_rear_wheel,-1.11022302462516E-16,3.33066907387547E-16,0.0341988929643311,0,0,0,2.20373338840703,0.00679098454718218,1.51788304147971E-18,-1.9305156683868E-18,0.00679098454718217,3.39493081395951E-18,0.0118184008419413,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/right_rear_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/right_rear_wheel.STL,,Wheel-3,Origin_right_rear_wheel_joint,Axis_right_rear_wheel_joint,right_rear_wheel_joint,revolute,-0.19072,0.57197,0.22706,1.5708,-0.93413,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
left_rear_wheel,-4.44089209850063E-16,-8.32667268468867E-17,0.034198892964329,0,0,0,2.20373338840704,0.00679098454718218,-2.71050543121376E-20,-4.15014721197344E-18,0.00679098454718218,5.12280309725432E-18,0.0118184008419413,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/left_rear_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/left_rear_wheel.STL,,Wheel-4,Origin_left_rear_wheel_joint,Axis_left_rear_wheel_joint,left_rear_wheel_joint,revolute,0.16488,0.57197,0.22706,1.5708,-0.034289,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
right_axel,-0.0215345255884777,-2.05502593310369E-07,-0.0412194584316649,0,0,0,0.343309256864881,0.000302393340893422,1.18619617171983E-09,0.000116959746613945,0.000593149262079214,-1.78198026433145E-09,0.000404179196007141,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/right_axel.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/right_axel.STL,,Dynamic_Axel-2,Origin_right_axel_joint,Axis_right_axel_joint,right_axel_joint,revolute,-0.10182,0.063969,0.20166,-3.1416,0,-0.019264,base_link,0,0,1,0,0,-0.24254,0.28106,,,,,,,,
right_front_wheel,-3.88578058618805E-16,5.79397640976254E-15,0.0388480457107787,0,0,0,2.20373338840704,0.00679098454718218,6.50521303491303E-19,-1.06217931585689E-18,0.00679098454718217,-3.30681662608079E-18,0.0118184008419413,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/right_front_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/right_front_wheel.STL,,Wheel-1,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,revolute,-0.084251,0,-0.0254,1.5708,1.3589,-1.5708,right_axel,0,0,1,0,0,0,0,,,,,,,,
left_axel,-0.0215345010339004,-2.23897531057005E-07,-0.0412194644195421,0,0,0,0.343309335035793,0.000302393392753759,1.48778172553109E-09,0.000116959879485354,0.000593149368150714,-1.66748643075836E-09,0.000404179409963257,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/left_axel.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/left_axel.STL,,Dynamic_Axel-1,Origin_left_axel_joint,Axis_left_axel_joint,left_axel_joint,revolute,0.075985,0.063969,0.20166,3.1416,0,3.1382,base_link,0,0,1,0,0,-0.25839,0.2652,,,,,,,,
left_front_wheel,-7.49400541621981E-16,4.44089209850063E-16,0.0351221259560628,0,0,0,2.20373338840703,0.00679098454718218,0,-1.92276479026726E-18,0.00679098454718217,-5.78862316153589E-18,0.0118184008419413,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/left_front_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/left_front_wheel.STL,,Wheel-2,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,revolute,-0.087977,0,-0.0254,1.5708,1.1228,-1.5708,left_axel,0,0,1,0,0,0,0,,,,,,,,
